,prefix,input_text,target_text,doi
28,,The majority of tumours arise from surface of the ovary (epithelial).,سرطان اپی‌تلیالی تخمدان (epithelial ovarian cancer; EOC) از سلول‌های پوشش دهنده سطح تخمدان منشا می‌گیرد.,10.1002/14651858.CD011322.pub2
29,,"For this updated review, we searched the Cochrane Central Register of Controlled Trials (CENTRAL), MEDLINE (OVID), Embase (OVID), the Cumulative Index to Nursing and Allied Health Literature (CINAHL, EBSCO), Latin American and Caribbean Health Sciences (LILACS) and the International Standard Randomized Controlled Trial Number (ISRCTN) registry from inception to August 2016.",شواهد تا آگوست 2016 به‌روز است.,10.1002/14651858.CD006667.pub3
35,,One study reported no difference between the exercise and control groups whereas the second reported a reduction in symptoms in the exercise group.,یک مطالعه گزارش داد تفاوتی بین تمرینات ورزشی و گروه کنترل وجود ندارد، در حالی که دومین مطالعه کاهش را در نشانه‌های گروه تمرینات ورزشی نشان داد.,10.1002/14651858.CD010637.pub2
37,,The duration of follow-up was 2.5 years and quality of life (QoL) was not reported in this study.,داده‌های مربوط به کیفیت زندگی در هر دو مطالعه گزارش نشده بود.,10.1002/14651858.CD011322.pub2
38,,Risk factors reported by one eligible study were older age at screening and abdominal radiotherapy.,عوامل خطرساز گزارش‌شده توسط یک مطالعه واجد شرایط، شامل سن بالاتر هنگام غربالگری و انجام رادیاسیون در ناحیه کلیه بود.,10.1002/14651858.CD008944.pub3
39,,"Two thirds of these women will present with advanced disease, requiring aggressive treatment, which includes debulking surgery (removal of as much disease as possible) and chemotherapy.",درمان اولیه شامل جراحی (برداشتن بیماری تا جایی که امکان‌پذیر است) و پس از آن شیمی‌درمانی است.,10.1002/14651858.CD011322.pub2
42,,"We included randomised controlled trials (RCTs) that evaluated the effects of oral care measures (brushing, swabbing, denture cleaning mouthrinse, or combination) in residents of any age in nursing homes and other long-term care facilities.",هیچ مطالعه‌ای مراقبت از دهان را در برابر عدم مراقبت از دهان ارزیابی نکرد.,10.1002/14651858.CD012416.pub2
47,,'Ganmao' capsules were found to be more effective than amantadine in decreasing influenza symptoms and speeding recovery in one study (in which adverse reactions were mentioned in the amantadine group although no data were reported).,در یک مطالعه (که در آن عوارض جانبی برای گروه آمانتادین ذکر شد، هر چند که هیچ داده‌ای گزارش نشد)، کپسول «گانمائو (Ganmao)» در مقایسه با آمانتادین در کاهش نشانه‌های آنفلوآنزا و کمک به بهبودی بیمار، تاثیرگذارتر شناخته شد.,10.1002/14651858.CD004559.pub4
48,,We used the GRADE approach to judge the quality of the evidence for each outcome and downgraded the evidence for mortality and unfavourable outcome to very low.,از رویکرد GRADE برای قضاوت در مورد کیفیت شواهد استفاده کردیم.,10.1002/14651858.CD001048.pub5
51,,To assess the effectiveness of mass media interventions in reducing smoking among adults.,ارزیابی اثربخشی مداخلات رسانه‌ای در کاهش مصرف سیگار در بزرگسالان.,10.1002/14651858.CD004704.pub4
52,,The prevalence of adverse renal effects ranged from 0% to 84%.,درصد CCS مبتلا به مشکلات کلیوی از 0% تا 84% متفاوت بود.,10.1002/14651858.CD008944.pub3
53,,"There were no significant differences between 'E Shu You' and ribavirin in treating influenza, nor in the occurrence of adverse reactions.",هیچ تفاوت معنی‌داری میان «E Shu You» و ریباویرین (ribavirin) در درمان آنفلوآنزا، همچنین در وقوع عوارض جانبی وجود نداشت.,10.1002/14651858.CD004559.pub4
54,,"In vitro maturation (IVM) is a fertility treatment that involves the transvaginal retrieval of immature oocytes, and their subsequent maturation and fertilisation.",در IVM، تخمک‌های نابالغ متعددی، معمولا از تخمدان تحریک نشده، قبل از بلوغ و متعاقب آن لقاح، بازیابی می‌شوند.,10.1002/14651858.CD008720.pub2
57,,"Current rehabilitation approaches have limited effectiveness in improving outcomes in patients with IPD, but a possible adjunct to rehabilitation might be non-invasive brain stimulation by transcranial direct current stimulation (tDCS) to modulate cortical excitability, and hence to improve these outcomes in IPD.",استراتژی‌های کنونی توان‌بخشی، اثربخشی محدودی در بهبود این پیامدها دارند.,10.1002/14651858.CD010916.pub2
61,,Three non-eligible studies showed that a higher body mass index increased the risk of hypertension.,شاخص توده بدنی بالا به عنوان یک عامل خطرساز توسط سه مطالعه غیر-واجد شرایط گزارش شد.,10.1002/14651858.CD008944.pub3
62,,The prevalence of hypertension ranged from 0% to 50% in 2464 participants (30/52 studies).,شیوع فشار خون بالا در 2464 شرکت‌کننده از 0% تا 50% متغیر بود (30/52 مطالعه).,10.1002/14651858.CD008944.pub3
64,,"Exacerbations that needed treatment in the Emergency Department (ED), hospital admission or an unscheduled healthcare visit all happened too infrequently to detect whether remote check-ups are a safe alternative to face-to-face consultations.",تعداد حملات آسم که درمان را در بخش اورژانس یا بیمارستان یا یک ویزیت برنامه‌ریزی نشده برای دیدن پزشک خود بطلبد، برای گفتن اینکه معاینه از راه دور به خوبی مشاوره رو-در-رو است، بسیار معدود بود.,10.1002/14651858.CD011715.pub2
68,,"In total, we included 61 studies; 46 for prevalence, six for both prevalence and risk factors, and nine not meeting the inclusion criteria, but assessing risk factors.",تعداد 61 مطالعه را وارد کردیم؛ 46 مورد درباره شیوع، شش مورد درباره شیوع و عوامل خطرساز، و نه مطالعه که همه الزامات این مرور را نداشتند، اما عوامل خطرساز را ارزیابی کردند (مطالعات غیر-واجد شرایط).,10.1002/14651858.CD008944.pub3
69,,"To assess the impact on selection and consumption of altering the availability or proximity of (a) food (including non-alcoholic beverages), (b) alcohol, and (c) tobacco products.",این مرور به بررسی این موضوع پرداخت که آیا تغییر الگوی در دسترس بودن یا نزدیکی محصولات مواد غذایی (از جمله نوشیدنی‌های غیرالکلی)، الکل، و دخانیات، باعث تغییر انتخاب افراد (مانند خریدن) یا مصرف آن دسته از محصولات می‌شود یا خیر.,10.1002/14651858.CD012573.pub3
72,,"Mass media are defined here as channels of communication such as television, radio, newspapers, billboards, posters, leaflets or booklets intended to reach large numbers of people, and which are not dependent on person-to-person contact.",کمپین‌ها شامل تلویزیون، رادیو، رسانه‌های چاپی و تبلیغاتی بیلبورد بود.,10.1002/14651858.CD004704.pub4
76,,The quality of the evidence was very low across different outcomes according to GRADE methodology.,کیفیت شواهد برای یافته‌های موجود بسیار پائین بود.,10.1002/14651858.CD011577.pub2
77,,We included 37 eligible trials with a total of 3110 randomised participants; nine of these were new studies since the last update (2009) and five studies had been previously excluded but were re-assessed and included during the 2017 update.,تعداد 37 مطالعه را با 3110 شرکت‌کننده وارد کردیم.,10.1002/14651858.CD001048.pub5
79,,Hormones such as luteinising hormone releasing hormone (LHRH) agonists have been used in the treatment of relapsed EOC.,آگونیست‌های LHRH در عود EOC استفاده شده‌اند و برخی از مطالعات سمیّت کمتر با این هورمون‌ها را نشان داده‌اند.,10.1002/14651858.CD011322.pub2
81,,We included six trials with a total of 137 participants.,ما شش کارآزمایی را شامل 137 شرکت‌کننده وارد کردیم.,10.1002/14651858.CD010916.pub2
83,,"Mass media are defined here as channels of communication such as television, radio, newspapers, billboards, posters, leaflets or booklets intended to reach large numbers of people, and which are not dependent on person-to-person contact.",برنامه‌های رسانه‌های جمعی شامل ارتباطات از طریق تلویزیون، رادیو، روزنامه‌ها، بیلبوردها، پوسترها، بروشورها یا جزوه‌ها، با هدف تشویق سیگاری‌ها به ترک و خودداری از مصرف در افراد غیر-سیگاری است.,10.1002/14651858.CD004704.pub4
85,,This suggests the need for more high-quality studies.,این گفته نیاز به انجام مطالعات بیشتر را با کیفیت بالا نشان می‌دهد.,10.1002/14651858.CD006966.pub3
87,,"Among the eight studies presenting abstinence or quit rates, four showed some positive effect, although in one of them the effect was measured for quitting and cutting down combined.",سه مطالعه چند تاثیر مثبت را در نرخ پرهیز از مصرف یا ترک نشان دادند.,10.1002/14651858.CD004704.pub4
89,,"The prevalence of adverse renal effects after treatment with cisplatin, carboplatin, ifosfamide, radiation therapy involving the kidney region, nephrectomy, or any combination of these, ranged from 0% to 84% depending on the study population, received treatment combination, reported outcome measure, follow-up duration and methodological quality.",شرکت‌کنندگان در این مطالعات پیش از سن 21 سالگی با شیمی‌درمانی (یعنی سیس‌پلاتین (cisplatin)، کربوپلاتین (carboplatin)، ایفوسفامید (ifosfamide))، رادیاسیون (radiation) یا جراحی در ناحیه کلیه‌ها یا ترکیبی از این درمان‌ها معالجه شده بودند.,10.1002/14651858.CD008944.pub3
93,,"Influenza is a communicable acute respiratory infection which, during epidemics, can cause high morbidity and mortality rates.",آنفلوآنزا، یک عفونت تنفسی ویروسی است که باعث یک بیماری تب‌دار حاد همراه با میالژی، سردرد و سرفه شده و می‌تواند منجر به نرخ بالای موربیدیتی و مورتالیتی در طول یک اپیدمی شود.,10.1002/14651858.CD004559.pub4
95,,"Four out of 52 studies, including 128 CCS, assessed the prevalence of hypomagnesaemia, which ranged between 13.2% and 28.6%.",چهار مورد از 52 مطالعه، شامل 128 مورد CCS، سطح پائین منیزیم را در خون (هیپومنیزیمی (hypomagnesaemia)) ارزیابی کردند.,10.1002/14651858.CD008944.pub3
97,,"Of these 52 studies, 36 studied a decreased (estimated) GFR, including at least 432 CCS, and found it was present in 0% to 73.7% of participants.",سی‌-شش مورد از 52 مطالعه، شامل حداقل 432 شرکت‌کننده، تست عملکرد کلیه را به نام نرخ فیلتراسیون گلومرولی (glomerular filtration rate; GFR) انجام دادند.,10.1002/14651858.CD008944.pub3
98,,"IPD affects patients' health-related quality of life, disability, and impairment.",IPD کیفیت زندگی مرتبط با سلامت، ناتوانی و اختلال را در زندگی بیمار تحت تاثیر قرار می‌دهد.,10.1002/14651858.CD010916.pub2
99,,Albuterol inhalation versus saline inhalation changed serum K+ from baseline at four hours [WMD -0.69 mmol/L (95% CI -0.87 to -0.51)] and at eight hours [WMD -0.59 mmol/L (95% CI -0.78 to -0.40)] after initiation of treatment.,آلبوترول منجر به کاهش سطوح خونی پتاسیم در 4 و 8 ساعت پس از آغاز درمان شد.,10.1002/14651858.CD005257.pub3
104,,Orthodontic treatment involves using fixed or removable appliances (dental braces) to correct the positions of teeth.,درمان ارتودنسی شامل استفاده از بریس‌های ثابت یا متحرک دندانی برای اصلاح موقعیت دندان‌ها است.,10.1002/14651858.CD008236.pub3
105,,"The ability of probiotics in maintaining and recovering the normal vaginal microbiota, and their potential ability to resist Candidas give rise to the concept of using probiotics for the treatment of VVC.",توانایی پروبیوتیک‌ها در حفظ و بهبود میکروبیوتای طبیعی واژینال، و توانایی بالقوه آنها برای مقاومت به کاندیداها، مفهوم استفاده از پروبیوتیک‌ها را برای درمان VVC افزایش می‌دهد.,10.1002/14651858.CD010496.pub2
106,,We found moderate-quality evidence that yoga probably leads to small improvements in quality of life and symptoms in people with asthma.,ما دریافتیم که یوگا احتمالا تا حدی منجر به بهبود کیفیت زندگی و علائم آسم می‌شود.,10.1002/14651858.CD010346.pub2
107,,Management of this problem is both time consuming and expensive.,مدیریت این مشکل هم وقت‌گیر و هم پرهزینه است.,10.1002/14651858.CD006966.pub3
108,,"Although the live birth rate is lower than conventional in vitro fertilisation (IVF) with ovarian stimulation, it is a useful treatment, as it avoids the risk of ovarian hyperstimulation syndrome (OHSS).",بلوغ آزمایشگاهی دارای نرخ زنده‌زایی کمتری نسبت به لقاح آزمایشگاهی است، اما این حالت از احتمال خطر OHSS جلوگیری می‌کند، بنابراین یک تکنیک مفید در زنان مبتلا به PCO و PCOS است.,10.1002/14651858.CD008720.pub2
110,,"We included randomised controlled trials of any pharmacological intervention for acute or chronic heart failure, among people of any age with chronic kidney disease of at least three months duration.","ما 31 مطالعه را پیدا کردیم که شامل 23,762 فرد مبتلا به نارسایی قلبی و بیماری‌ مزمن کلیه بودند.",10.1002/14651858.CD012466.pub2
112,,The primary outcomes were live birth rate and miscarriage rate per woman randomised.,پیامدهای اصلی نرخ زنده‌زایی و نرخ سقط جنین به ازای هر زن تصادفی‌سازی شده بود.,10.1002/14651858.CD008720.pub2
117,,To determine the effectiveness and safety of interventions for non-oliguric hyperkalaemia [for the purpose of this review defined as serum potassium > 6.0 mmol/L (the clinical setting in which interventions would likely be introduced prior to reaching a grossly abnormal level) and urine output > 0.5 ml/kg/hour] in preterm or VLBW infants during their first 72 hours of life.,هدف این مرور، تعیین اثربخشی و ایمنی مداخلات برای این وضعیت جدی بود.,10.1002/14651858.CD005257.pub3
119,,"Most (14/18) changed the distance at which a snack food or drink was placed from the participants, whilst four studies changed the order of meal components encountered along a line.",بیشتر مطالعات (14/18) فاصله‌ای را که شرکت‏‌کنندگان با یک غذای میان وعده یا نوشیدنی داشتند تغییر دادند، در حالی که چهار مطالعه ترتیب اجزای وعده‌های غذایی را که در طول یک خط قرار می‌گیرند، تغییر دادند.,10.1002/14651858.CD012573.pub3
122,,Asthma is a common chronic inflammatory disorder affecting about 300 million people worldwide.,آسم یک بیماری مزمن شایع است که حدود 300 میلیون نفر را در سراسر دنیا تحت تاثیر قرار می‌دهد.,10.1002/14651858.CD010346.pub2
123,,"In one study, increases in change in ejection fraction compared with baseline (mean difference (MD) 4.88%, 95% confidence interval (CI) 3.16 to 6.60; 30 participants; P < 0.00001), half venous refilling time (MD 4.20 seconds, 95% CI 3.28 to 5.12; 23 participants; P < 0.00001) and total venous refilling time (MD 9.40 seconds, 95% CI 7.77 to 11.03; 23 participants; P < 0.00001) were observed in the exercise group compared with the control group.",در پایان مطالعه، بهبود در بازگشت خون وریدی در گروه تمرینات ورزشی در مقایسه با گروه کنترل مشاهده شد.,10.1002/14651858.CD010637.pub2
124,,"Among seven campaigns reporting smoking prevalence, significant decreases were observed in the California and Massachusetts statewide tobacco control campaigns compared with the rest of the USA.",دو کمپین کاهش قطعی شیوع سیگار کشیدن را گزارش کردند، و چند تاثیر مثبت در سه کمپین دیگر مشاهده شد.,10.1002/14651858.CD004704.pub4
128,,"One study investigated 20,000 units hCG compared to 10,000 units hCG priming.","یک مطالعه آماده‌سازی را با 20,000 واحد hCG با استفاده از 10,000 واحد مقایسه کرده بود.",10.1002/14651858.CD008720.pub2
130,,"Six studies investigated availability interventions, of which two changed the absolute number of different options available, and four altered the relative proportion of less-healthy (to healthier) options.",مداخلات در شش مطالعه شامل در دسترس بودن این محصولات بود، که از این تعداد چهار مطالعه گزینه‌هایی را که نسبتا کمتر سالم بودند، به گزینه‌های سالم‌تر تغییر دادند، و دو مطالعه تعداد مطلق گزینه‌های مختلف در دسترس را تغییر دادند.,10.1002/14651858.CD012573.pub3
133,,"Three studies investigated 10,000 units hCG priming compared to no priming.","مطالعات باقی‌مانده آماده‌سازی با 10,000 واحد hCG را نسبت به هیچ آماده‌سازی مقایسه کرده بود.",10.1002/14651858.CD008720.pub2
134,,It involves surgical exposure (uncovering) followed by fixed braces for two to three years to bring the canine into alignment within the dental arch.,این کار معمولا شامل انجام جراحی (باز کردن)، به دنبال بریس‌های ارتودنسی ثابت به مدت دو تا سه سال، برای حرکت دادن کانین به موقعیت صحیح آن است.,10.1002/14651858.CD006966.pub3
135,,"The study identified no serious events and 64 non-serious events, the most common of which were oral cavity disturbances (not defined) and dental staining.",شایع‌ترین عوارض غیر-جدی گزارش‌شده عبارت بودند از آسیب به دهان و ایجاد لکه‌های دندانی (dental staining).,10.1002/14651858.CD012416.pub2
136,,The primary outcomes were live birth rate and miscarriage rate per woman randomised.,پیامدهای اصلی شامل نرخ زنده‌زایی و سقط جنین بود.,10.1002/14651858.CD008720.pub2
142,,This is an update of a previously published review.,این یک به‌روزرسانی از یک مطالعه مروری است که قبلا منتشر شده است.,10.1002/14651858.CD003147.pub5
149,,"The 52 studies evaluating the prevalence of renal dysfunction included 13,327 participants of interest, of whom at least 4499 underwent renal function testing.","تعداد 52 مطالعه که شیوع تاثیرات نامطلوب کلیه را ارزیابی کردند، شامل 13,327 شرکت‌کننده بودند که از این تعداد 4499 نفر تست‌های عملکرد کلیه را انجام دادند.",10.1002/14651858.CD008944.pub3
156,,"Prevalence ranged between 0% and 36.8% for hypophosphataemia in 287 participants, and from 0% to 62.5% for impaired TPR in 246 participants.",شیوع هیپوفسفاتمی در 287 شرکت‌کننده بین 0% و 36.8% متغیر بود.,10.1002/14651858.CD008944.pub3
159,,"Current rehabilitation approaches have limited effectiveness in improving outcomes in patients with IPD, but a possible adjunct to rehabilitation might be non-invasive brain stimulation by transcranial direct current stimulation (tDCS) to modulate cortical excitability, and hence to improve these outcomes in IPD.",یک امکان برای افزایش تاثیرات توان‌بخشی می‌تواند افزودن تحریک الکتریکی غیر-تهاجمی مغز از طریق تکنیکی معروف به تحریک جریان مستقیم ترانس‌کرانیال (transcranial direct current stimulation; tDCS) باشد.,10.1002/14651858.CD010916.pub2
160,,"Except for case reports, case series and studies including fewer than 20 participants, we included studies with all study designs that reported on renal function (one year or longer after cessation of treatment), in CCS treated before the age of 21 years with cisplatin, carboplatin, ifosfamide, radiation involving the kidney region, a nephrectomy, or a combination of two or more of these treatments.",شرکت‌کنندگان در این مطالعات پیش از سن 21 سالگی با شیمی‌درمانی (یعنی سیس‌پلاتین (cisplatin)، کربوپلاتین (carboplatin)، ایفوسفامید (ifosfamide))، رادیاسیون (radiation) یا جراحی در ناحیه کلیه‌ها یا ترکیبی از این درمان‌ها معالجه شده بودند.,10.1002/14651858.CD008944.pub3
161,,Health services worldwide are considering telephone and internet technologies as a way to manage the rising number of people with asthma and other long-term health conditions.,فن‌آوری تلفن و اینترنت ممکن است یک راه برای مدیریت افزایش تعداد افراد مبتلا به آسم و سایر شرایط سلامت طولانی-مدت باشد.,10.1002/14651858.CD011715.pub2
167,,"One non-eligible study investigated risk factors for hypophosphataemia, but could not find any association.",یک مطالعه غیر-واجد شرایط عوامل خطرساز را بررسی کرد، اما هیچ ارتباطی را با هیپوفسفاتمی نیافت.,10.1002/14651858.CD008944.pub3
168,,"The prevalence of adverse renal effects after treatment with cisplatin, carboplatin, ifosfamide, radiation therapy involving the kidney region, nephrectomy, or any combination of these, ranged from 0% to 84% depending on the study population, received treatment combination, reported outcome measure, follow-up duration and methodological quality.",درصد CCS مبتلا به مشکلات کلیوی از 0% تا 84% متفاوت بود.,10.1002/14651858.CD008944.pub3
169,,Both non-eligible studies investigating risk factors identified cisplatin as a risk factor.,دو مطالعه غیر-واجد شرایط سیس‌پلاتین را به عنوان عامل خطرساز برای هیپومنیزیمی تعیین کردند.,10.1002/14651858.CD008944.pub3
170,,"The benefit of adjuvant chemotherapy and radiotherapy (RT), given as single modalities or sequentially, is still unclear.",با این حال، هنوز مزیت شیمی‌درمانی و پرتودرمانی کمکی (پس از جراحی) مشخص نیست.,10.1002/14651858.CD007104.pub2
171,,"The study identified no serious events and 64 non-serious events, the most common of which were oral cavity disturbances (not defined) and dental staining.",فقط یک مطالعه تاثیرات منفی مداخلات را اندازه‌گیری کرد و گزارش داد که هیچ رویداد جدی رخ نداد.,10.1002/14651858.CD012416.pub2
175,,"Further randomised trials with robust methodology are required to develop the optimal transfusion strategy for such patients, particularly as the incidence of the main group of bone marrow failure disorders, MDS, rises with an ageing population.",برای تعیین بهترین سیاست ترانسفیوژن برای بیماران مبتلا به اختلالات نارسایی طولانی-مدتمغز استخوان، انجام کارآزمایی‌هایی با متدولوژی خوب، مورد نیاز است.,10.1002/14651858.CD011577.pub2
177,,"As a holistic therapy, yoga has the potential to relieve both the physical and psychological suffering of people with asthma, and its popularity has expanded globally.",یوگا، که محبوبیت آن در سطح جهانی گسترش یافته، دارای پتانسیل برطرف کردن برخی از مشکلات مربوط به آسم است.,10.1002/14651858.CD010346.pub2
182,,"Failure of brackets, bands and bonded molar tubes slows down the progress of treatment with a fixed appliance.",شکست براکت‌ها، بندها و باند لوله‌های مولر، روند پیشرفت درمان را با بریس دندانی کُند می‌کنند.,10.1002/14651858.CD008236.pub3
184,,Eighteen studies investigated proximity interventions.,مداخلات در هجده مطالعه شامل نزدیک بودن این محصولات بود.,10.1002/14651858.CD012573.pub3
186,,"Orthodontic tubes (stainless steel tubes that allow wires to pass through them), are typically welded to bands but they may also be glued directly (bonded) to molars.",لوله‌های ارتودنسی (لوله‌های فولادی ضد-زنگ که اجازه می‌دهند سیم‌ها از طریق آن‌ها عبور کنند)، به‌طور معمول به بندها جوش داده می‌شوند، اما آن‌ها می‌توانند مستقیما (باند (bond)) به دندان‌های مولر نیز چسبانده شوند.,10.1002/14651858.CD008236.pub3
190,,"Among the three that did not show significant decreases, one demonstrated a significant intervention effect on smokers and ex-smokers combined.",یک مطالعه کاهش قابل توجهی را نشان نداد، اما تاثیر مداخله را روی افراد سیگاری و افراد سابقا سیگاری نشان داد.,10.1002/14651858.CD004704.pub4
195,,"There was some evidence that yoga may improve quality of life (MD in Asthma Quality of Life Questionnaire (AQLQ) score per item 0.57 units on a 7-point scale, 95% CI 0.37 to 0.77; 5 studies; 375 participants), improve symptoms (SMD 0.37, 95% CI 0.09 to 0.65; 3 studies; 243 participants), and reduce medication usage (RR 5.35, 95% CI 1.29 to 22.11; 2 studies) in people with asthma.",ما دریافتیم که یوگا احتمالا تا حدی منجر به بهبود کیفیت زندگی و علائم آسم می‌شود.,10.1002/14651858.CD010346.pub2
197,,"The incidence of venous leg ulcers, incidence of surgical intervention to treat symptoms related to CVI and exercise capacity were not assessed or reported in either of the included trials.",مطالعات وارد شده گزارشی از موارد جدید زخم‌های پای وریدی ارائه نکردند.,10.1002/14651858.CD010637.pub2
199,,"There is insufficient information to rule out differences in efficacy, or to say whether or not remote asthma check-ups are a safe alternative to being seen face-to-face.",در این مقطع، نمی‌توانیم بگوییم معاینه آسم از طریق تلفن یا اینترنت یک جایگزین امن برای مشاوره معمول رو-در-رو است یا خیر.,10.1002/14651858.CD011715.pub2
212,,One eligible study reported an increased risk of glomerular dysfunction after concomitant treatment with aminoglycosides and vancomycin in CCS receiving total body irradiation (TBI).,یک مطالعه واجد شرایط، افزایش خطر GFR غیر-طبیعی را در شرکت‌کنندگانی نشان داد که تحت درمان با پرتودرمانی کل بدن (total body irradiation; TBI) قرار گرفته و انواع خاصی را از آنتی‌بیوتیک‌ها (آمینوگلیکوزیدها (aminoglycosides) و وانکومایسین (vancomycin)) دریافت کردند.,10.1002/14651858.CD008944.pub3
213,,Pneumonia occurring in residents of long-term care facilities and nursing homes can be termed 'nursing home-acquired pneumonia' (NHAP).,پنومونی اکتسابی از خانه سالمندان (nursing home-acquired pneumonia; NHAP) یک عفونت باکتریایی ریه است که در ساکنان مراکز مراقبت طولانی-مدت و خانه‌های سالمندان رخ می‌دهد.,10.1002/14651858.CD012416.pub2
214,,Three large-scale campaigns of the seven presenting results for tobacco consumption found statistically significant decreases.,سه کمپین در مقیاس بزرگ، مصرف دخانیات پائین‌تری را گزارش کردند.,10.1002/14651858.CD004704.pub4
216,,"No consistent relationship was observed between campaign effectiveness and age, education, ethnicity or gender.",الگوهای هم‌سو و سازگار با سن، تحصیلات، قومیت یا جنسیت یافت نشد.,10.1002/14651858.CD004704.pub4
217,,Treatments such as physical exercise that aim to increase the movement of the ankle joint and strengthen the muscle pump in the calf of the leg may be useful to reduce the symptoms of CVI.,پژوهش‌ها نشان می‌دهد که درمان‌هایی مانند تمرین ورزشی که هدف آن افزایش حرکت مفصل مچ پا و تقویت پمپ عضلانی در کاف پا است، می‌تواند برای پیشگیری از بدتر شدن بیماری و عواقب آن مفید باشد.,10.1002/14651858.CD010637.pub2
219,,"Seven out of 52 studies, including 244 participants, reported the prevalence of chronic kidney disease, which ranged from 2.4% to 32%.",شیوع بیماری‌های مزمن کلیه در 244 شرکت‌کننده از 2.4% تا 32% متغیر بود (7/52 مطالعه).,10.1002/14651858.CD008944.pub3
220,,Hypothermia has been used in the treatment of brain injury for many years.,سالیان متمادی است که هیپوترمی برای درمان افراد مبتلا به آسیب شدید مغزی استفاده شده است.,10.1002/14651858.CD001048.pub5
224,,"Studies differed in design, settings, duration, content and intensity of intervention, length of follow-up, methods of evaluation and also in definitions and measures of smoking behaviour used.",مطالعات در شرایط، مدت زمان، محتوای مداخله، طول مدت مشاهده، اندازه‌گیری رفتار مصرف سیگار و نحوه نمایش نتایج متفاوت بودند.,10.1002/14651858.CD004704.pub4
229,,"Of these 52 studies, 36 studied a decreased (estimated) GFR, including at least 432 CCS, and found it was present in 0% to 73.7% of participants.",GFR غیر-طبیعی در 0% تا 73.7% از شرکت‌کنندگان مشاهده شد.,10.1002/14651858.CD008944.pub3
233,,We included 18 studies involving 2521 participants.,هجده مطالعه شامل 2521 شرکت‌کننده در این مرور وارد شدند.,10.1002/14651858.CD004559.pub4
