,prefix,input_text,target_text,doi
78,,Most of the trials were of very low methodological quality and therefore the interpretation of any positive findings for the efficacy of the included Chinese herbal medicines for treating diabetic peripheral neuropathy should be made with caution.,Most of the trials were of very low methodological quality and the interpretation of any positive findings for the efficacy of the included Chinese herbal medicines for treating DPN should be made with caution.,10.1002/14651858.CD007796.pub3
80,,One study reported no difference between the exercise and control groups whereas the second reported a reduction in symptoms in the exercise group.,One study reported no difference between the exercise and control groups whereas the second reported a reduction in symptoms in the exercise group.,10.1002/14651858.CD010637.pub2
81,,There is an urgent need for a robust randomised controlled trial to evaluate fully the comparative effects of both treatment options.,"Therefore, there is an urgent need to conduct further studies to compare fully the benefits and risks of both treatments.",10.1002/14651858.CD008977.pub2
82,,Venous leg ulcers are a common and recurring type of chronic or complex wound that are associated with considerable cost to patients and to healthcare providers.,Venous leg ulcers are a common and recurring type of chronic wound.,10.1002/14651858.CD009907.pub2
84,,"There is no evidence from controlled clinical trials that postnatal thyroid hormone treatment reduces the severity of respiratory distress syndrome, neonatal morbidity or mortality in preterm infants with respiratory distress syndrome.","In preterm infants with breathing problems after birth, there is no evidence that thyroid hormone treatment given immediately after delivery reduces the severity of breathing difficulties or improves outcomes.",10.1002/14651858.CD005946.pub2
87,,"Seasonal/perennial allergic conjunctivitis is the most common allergic conjunctivitis, usually with acute manifestations when a person is exposed to allergens and with typical signs and symptoms including itching, redness, and tearing.",Seasonal and perennial allergic conjunctivitis is the most common type of allergic conjunctivitis.,10.1002/14651858.CD009566.pub2
88,,The duration of follow-up was 2.5 years and quality of life (QoL) was not reported in this study.,Quality of life data were not reported in either study.,10.1002/14651858.CD011322.pub2
90,,Risk factors reported by one eligible study were older age at screening and abdominal radiotherapy.,Risk factors reported by one eligible study were older age at screening and radiation involving the kidney.,10.1002/14651858.CD008944.pub3
92,,"Two thirds of these women will present with advanced disease, requiring aggressive treatment, which includes debulking surgery (removal of as much disease as possible) and chemotherapy.",The initial treatment involves surgery (removal of as much disease as possible) followed by chemotherapy.,10.1002/14651858.CD011322.pub2
95,,All of these admissions occurred in the delayed group as all the participants were operated on within 24 hours in the early group.,All of these participants were from the delayed group.,10.1002/14651858.CD007196.pub3
96,,"One trial reported that the oocyte retrieval rate was significantly lower in the natural cycle group (MD -4.40, 95% CI -7.87 to -0.93, 60 women, very low quality evidence).",There was evidence from single studies that a lower number of oocytes was retrieved in the natural cycle group.,10.1002/14651858.CD010550.pub2
98,,"We included randomised controlled trials (RCTs) that evaluated the effects of oral care measures (brushing, swabbing, denture cleaning mouthrinse, or combination) in residents of any age in nursing homes and other long-term care facilities.",None of the studies evaluated oral care versus no oral care.,10.1002/14651858.CD012416.pub2
104,,It seems that all reported topical antihistamines and mast cell stabilisers reduce symptoms and signs of seasonal allergic conjunctivitis when compared with placebo in the short term.,"Topical antihistamines and mast cell stabilisers, alone or in combination, are safe and effective for reducing symptoms of seasonal and perennial allergic conjunctivitis.",10.1002/14651858.CD009566.pub2
108,,None of the women involved in the studies developed antibodies against the RhD antigen.,None of the women developed antibodies against the RhD antigen.,10.1002/14651858.CD007885.pub2
109,,'Ganmao' capsules were found to be more effective than amantadine in decreasing influenza symptoms and speeding recovery in one study (in which adverse reactions were mentioned in the amantadine group although no data were reported).,'Ganmao' capsules were found to be more effective than amantadine in decreasing influenza symptoms and aiding recovery in one study (in which adverse reactions were mentioned in the amantadine group although no data were reported).,10.1002/14651858.CD004559.pub4
112,,We used the GRADE approach to judge the quality of the evidence for each outcome and downgraded the evidence for mortality and unfavourable outcome to very low.,We used the GRADE approach to judge the quality of evidence.,10.1002/14651858.CD001048.pub5
115,,Most studies (22/32) failed to report their source of funding and none described their methodology in adequate detail.,Most studies (22/32) failed to report their source of funding.,10.1002/14651858.CD007876.pub2
116,,"We also found that rates of relapse and rehospitalisation were lower for social skills compared to standard care (relapse: 2 RCTs, n = 263, RR 0.52 CI 0.34 to 0.79, very low quality evidence), (rehospitalisation: 1 RCT, n = 143, RR 0.53 CI 0.30 to 0.93, very low quality evidence) and participants’ mental state results (1 RCT, n = 91, MD -4.01 CI -7.52 to -0.50, very low quality evidence) were better in the group receiving social skill programmes.",Rates of relapse were lower for social skills compared to standard care and there was a significant difference in favour of social skills on people’s mental state.,10.1002/14651858.CD009006.pub2
118,,To assess the effectiveness of mass media interventions in reducing smoking among adults.,To assess the effectiveness of mass media interventions in reducing smoking among adults.,10.1002/14651858.CD004704.pub4
120,,The prevalence of adverse renal effects ranged from 0% to 84%.,The percentage of CCS with kidney problems ranged from 0% to 84%.,10.1002/14651858.CD008944.pub3
121,,"There were no significant differences between 'E Shu You' and ribavirin in treating influenza, nor in the occurrence of adverse reactions.","There were no significant differences between 'E Shu You' and ribavirin in treating influenza, nor in the occurrence of adverse reactions.",10.1002/14651858.CD004559.pub4
122,,"In vitro maturation (IVM) is a fertility treatment that involves the transvaginal retrieval of immature oocytes, and their subsequent maturation and fertilisation.","In IVM, multiple immature oocytes are retrieved, usually from unstimulated ovaries, prior to subsequent maturation and fertilisation.",10.1002/14651858.CD008720.pub2
123,,"However, when social skills programmes were compared to a discussion group control, we found no significant differences in the participants social functioning, relapse rates, mental state or quality of life, again the quality of evidence for these outcomes was very low.","However, when social skills programmes were compared to discussion groups, there were no significant differences in people’s social functioning, relapse rates, mental state or quality of life.",10.1002/14651858.CD009006.pub2
127,,"Current rehabilitation approaches have limited effectiveness in improving outcomes in patients with IPD, but a possible adjunct to rehabilitation might be non-invasive brain stimulation by transcranial direct current stimulation (tDCS) to modulate cortical excitability, and hence to improve these outcomes in IPD.",Current rehabilitation strategies have limited effectiveness in improving these outcomes.,10.1002/14651858.CD010916.pub2
130,,The second study used a parallel group design undertaken over a three-year period to compare the impact of capitation payments with fee-for-service payments on primary care dentists’ clinical activity.,The second study compared the impact of capitation payments and fee-for-service payments on primary care dentists’ clinical activity and the levels of dental decay that were experienced across the two payment systems.,10.1002/14651858.CD009853.pub2
137,,Three non-eligible studies showed that a higher body mass index increased the risk of hypertension.,A high body mass index was reported as a risk factor by three non-eligible studies.,10.1002/14651858.CD008944.pub3
138,,The prevalence of hypertension ranged from 0% to 50% in 2464 participants (30/52 studies).,The prevalence of high blood pressure ranged from 0% to 50% in 2464 participants (30/52 studies).,10.1002/14651858.CD008944.pub3
140,,This review focuses on chronic blepharitis and stratifies anterior and posterior blepharitis.,This review focuses on chronic blepharitis and stratifies anterior and posterior blepharitis.,10.1002/14651858.CD005556.pub2
144,,"Quality of life was also improved in the social skills programme compared to standard care (1 RCT, n = 112, MD -7.60 CI -12.18 to -3.02, very low quality evidence).",Quality of life was also improved in the social skills programme compared to standard care.,10.1002/14651858.CD009006.pub2
145,,"Exacerbations that needed treatment in the Emergency Department (ED), hospital admission or an unscheduled healthcare visit all happened too infrequently to detect whether remote check-ups are a safe alternative to face-to-face consultations.","Too few people had asthma attacks that needed treatment in the Emergency Department or hospital, or an unscheduled visit to see their doctor to tell if remote check-ups were as good as face-to-face consultations.",10.1002/14651858.CD011715.pub2
147,,Two initiatives showed mean increase in salt intake from pre-intervention to post-intervention: Canada (1.66) and Switzerland (0.80 grams/day more per person); however in both countries the pre-intervention data point was from several years prior to the initiation of the intervention.,"Two of the 10 countries (Canada, Switzerland) showed an increase in salt intake after the intervention, however, in both countries the only data available were from several years prior to the intervention starting.",10.1002/14651858.CD010166.pub2
148,,The trials reported on global symptom improvement (including improvement in numbness or pain) and changes in nerve conduction velocity.,The trials reported on global symptom improvement (including improvement in numbness or pain) and changes in nerve conduction velocity.,10.1002/14651858.CD007796.pub3
149,,"There was a trend to favour this outcome in the resuturing group, however, this difference was not statistically significant (risk ratio (RR) 1.69, 95% confidence interval (CI) 0.73 to 3.88, one study, 17 women).","One study, involving 17 women, showed a marginal tendency to improved healing in the women who were re-stitched, however, this evidence was not conclusive.",10.1002/14651858.CD008977.pub2
151,,"Population-level interventions in government jurisdictions for dietary sodium reduction have the potential to result in population-wide reductions in salt intake from pre-intervention to post-intervention, particularly if they are multi-component (more than one intervention activity) and incorporate intervention activities of a structural nature (e.g.","Overall, our results show that national government initiatives have the potential to achieve population-wide reductions in salt intake, especially amongst men, and particularly if they employ more than one strategy and include structural activities such as food product reformulation (i.e.",10.1002/14651858.CD010166.pub2
153,,"Blepharitis, an inflammatory condition associated with itchiness, redness, flaking, and crusting of the eyelids, is a common eye condition that affects both children and adults.","Blepharitis, defined as inflammation of the eyelids, is a common eye condition and affects both children and adults.",10.1002/14651858.CD005556.pub2
154,,"In total, we included 61 studies; 46 for prevalence, six for both prevalence and risk factors, and nine not meeting the inclusion criteria, but assessing risk factors.","We included 61 studies; 46 on prevalence, six for both prevalence and risk factors, and nine studies that did not meet all the requirements for this review, but evaluated risk factors (non-eligible studies).",10.1002/14651858.CD008944.pub3
159,,There was inadequate reporting on adverse events in the included trials.,There was inadequate reporting on adverse events in the included trials.,10.1002/14651858.CD007796.pub3
163,,"The quality of the studies and reporting was variable, but overall the risk of bias was low.",Overall risk of bias was low.,10.1002/14651858.CD009566.pub2
164,,"To assess the impact on selection and consumption of altering the availability or proximity of (a) food (including non-alcoholic beverages), (b) alcohol, and (c) tobacco products.","This review investigated whether altering the availability or proximity of food (including non-alcoholic beverages), alcohol, and tobacco products changed people's selection (such as purchasing) or consumption of those products.",10.1002/14651858.CD012573.pub3
169,,"Mass media are defined here as channels of communication such as television, radio, newspapers, billboards, posters, leaflets or booklets intended to reach large numbers of people, and which are not dependent on person-to-person contact.","Campaigns involved TV, radio, print media and billboard advertising.",10.1002/14651858.CD004704.pub4
174,,The quality of the evidence was very low across different outcomes according to GRADE methodology.,The evidence for the findings was of very low quality.,10.1002/14651858.CD011577.pub2
175,,We included 37 eligible trials with a total of 3110 randomised participants; nine of these were new studies since the last update (2009) and five studies had been previously excluded but were re-assessed and included during the 2017 update.,We included 37 studies with 3110 participants.,10.1002/14651858.CD001048.pub5
178,,There were no deaths in the early group (0/35) (0%) versus 1/40 (2.5%) in the delayed laparoscopic cholecystectomy group (P > 0.9999).,There were no deaths in the early group (0 out of 35) (0%) and there was one death (1 out of 40) (2.5%) in the delayed laparoscopic cholecystectomy group.,10.1002/14651858.CD007196.pub3
180,,Hormones such as luteinising hormone releasing hormone (LHRH) agonists have been used in the treatment of relapsed EOC.,LHRH agonists have been used in relapsed EOC and some studies have shown low toxicity with these hormones.,10.1002/14651858.CD011322.pub2
183,,We included six trials with a total of 137 participants.,We included six trials involving 137 participants.,10.1002/14651858.CD010916.pub2
185,,"The primary outcome was any participant-reported evaluation (by questionnaire) of severity of four main ocular symptoms: itching, irritation, watering eye (tearing), and photophobia (dislike of light), both separately and, if possible, by an overall symptom score.","The main outcome measure was eye symptoms reported by participants, including eye itching, irritation (burning sensation), watering eyes (tearing), and photophobia (dislike of light).",10.1002/14651858.CD009566.pub2
186,,Trials that enrolled preterm infants with suspected respiratory distress syndrome and allocated infants thyroid hormone treatment compared to control commenced in the first 48 hours after birth.,This review found two small trials that compared the use of thyroid hormones to no treatment in infants with breathing problems in the first hours after birth.,10.1002/14651858.CD005946.pub2
191,,"Mass media are defined here as channels of communication such as television, radio, newspapers, billboards, posters, leaflets or booklets intended to reach large numbers of people, and which are not dependent on person-to-person contact.","Mass media programmes involve communication through television, radio, newspapers, billboards, posters, leaflets or booklets, with the aims of encouraging smokers to quit, and maintaining abstinence in non-smokers.",10.1002/14651858.CD004704.pub4
194,,"There was no evidence of a statistically significant difference between natural cycle and standard IVF in rates of OHSS (OR 0.19, 95% CI 0.01 to 4.06, one study, 60 women, very low quality evidence), clinical pregnancy (OR 0.52 95% CI 0.17 to 1.61, 4 studies, 351 women, I2=63%, low quality evidence), ongoing pregnancy (OR 0.72, 95% CI 0.50 to 1.05, three studies, 485 women, I2=0%, moderate quality evidence), multiple pregnancy (OR 0.76, 95% CI 0.25 to 2.31, 2 studies, 527 women, I2=0%, very low quality evidence), gestational abnormalities (OR 0.44 95% CI 0.03 to 5.93, 1 study, 18 women, very low quality evidence) or cycle cancellations (OR 8.98, 95% CI 0.20 to 393.66, 2 studies, 159 women, I2=83%, very low quality evidence).","No significant difference was found in rates of clinical pregnancy, ongoing pregnancy, multiple pregnancy, incidence of ovarian hyperstimulation syndrome, gestational abnormalities or cancellations of treatment.",10.1002/14651858.CD010550.pub2
195,,This suggests the need for more high-quality studies.,This suggests the need for more high-quality studies.,10.1002/14651858.CD006966.pub3
198,,"Eight studies with 390,769 participants were included.","Eight studies with 390,769 participants, mainly observational, were included in this systematic review.",10.1002/14651858.CD009350.pub2
199,,One study used a factorial design to investigate the impact of fee-for-service and an educational intervention on the placement of fissure sealants in permanent molar teeth.,One study investigated the impact of a fee-for-service payment and an educational intervention on the placement of fissure sealants in permanent molar teeth.,10.1002/14651858.CD009853.pub2
201,,"Among the eight studies presenting abstinence or quit rates, four showed some positive effect, although in one of them the effect was measured for quitting and cutting down combined.",Three studies showed some positive effect in abstinence or quit rates.,10.1002/14651858.CD004704.pub4
203,,"The prevalence of adverse renal effects after treatment with cisplatin, carboplatin, ifosfamide, radiation therapy involving the kidney region, nephrectomy, or any combination of these, ranged from 0% to 84% depending on the study population, received treatment combination, reported outcome measure, follow-up duration and methodological quality.","cisplatin, carboplatin, ifosfamide), radiation, or surgery involving the kidneys, or a combination of these treatments.",10.1002/14651858.CD008944.pub3
205,,"A brief psychoeducational approach could potentially be effective, but further large, high-quality studies are needed to either confirm or refute the use of this approach.","Until further large, high-quality studies become available, the usefulness of brief psychoeducation remains debatable.",10.1002/14651858.CD010823.pub2
209,,The evidence for a 14% relative reduction in preterm birth for zinc compared with placebo was primarily represented by trials involving women of low income and this has some relevance in areas of high perinatal mortality.,The 14% relative reduction in preterm birth for zinc compared with placebo was primarily represented by trials of women with low incomes.,10.1002/14651858.CD000230.pub5
212,,"Based on evidence from only one high-bias risk trial, it appears that early laparoscopic cholecystectomy (less than 24 hours after diagnosis of biliary colic) decreases the morbidity during the waiting period for elective laparoscopic cholecystectomy (mean waiting time 4.2 months), the hospital stay, and operating time.","Based on evidence from only one high-bias risk trial, it appears that early laparoscopic cholecystectomy performed within 24 hours of diagnosis of biliary colic decreases serious complications, hospital stay, and operating time compared with delayed laparoscopic cholecystectomy with an average waiting time of four months.",10.1002/14651858.CD007196.pub3
213,,"For women, three initiatives (China, Finland, France) showed a statistically significant mean decrease, four (Austria, Netherlands, Switzerland, United Kingdom) showed no significant change and two (Canada, United States) showed a statistically significant mean increase in salt intake from pre-intervention to post-intervention.","Amongst women, the pattern of findings was less clear, with three of nine interventions showing a decrease, two showing an increase and four showing no change in salt intake.",10.1002/14651858.CD010166.pub2
218,,Further research is required.,More research is needed.,10.1002/14651858.CD006973.pub2
221,,"Influenza is a communicable acute respiratory infection which, during epidemics, can cause high morbidity and mortality rates.","Influenza is a viral respiratory infection that causes an acute febrile illness with myalgia, headache and cough, and can result in high morbidity and mortality rates during an epidemic.",10.1002/14651858.CD004559.pub4
225,,Blepharitis can be categorized in several different ways.,Blepharitis can be categorized in several different ways.,10.1002/14651858.CD005556.pub2
227,,"Topical treatments include eye drops with antihistamines, mast cell stabilisers, non-steroidal anti-inflammatory drugs, combinations of the previous treatments, and corticosteroids.","Eye drops with antihistamines or mast cell stabilisers, or both are commonly used.",10.1002/14651858.CD009566.pub2
228,,"Four out of 52 studies, including 128 CCS, assessed the prevalence of hypomagnesaemia, which ranged between 13.2% and 28.6%.","Four out of 52 studies, including 128 CCS, evaluated a low level of magnesium in the blood (hypomagnesaemia).",10.1002/14651858.CD008944.pub3
231,,"Of these 52 studies, 36 studied a decreased (estimated) GFR, including at least 432 CCS, and found it was present in 0% to 73.7% of participants.","Thirty-six out of 52 studies, including at least 432 participants, carried out a kidney function test called glomerular filtration rate (GFR).",10.1002/14651858.CD008944.pub3
233,,APD may however be considered advantageous in select group of patients such as in the younger PD population and those in employment or education due to its psychosocial advantages.,APD may however be considered advantageous in select group of patients such as in the younger PD population and those in employment or education due to its psychosocial advantages.,10.1002/14651858.CD006515
235,,To assess the effect of interventions to reduce or resolve ankle equinus in people with neuromuscular disease.,The purpose of this review was to assess the evidence regarding the effectiveness of interventions for improving ankle flexibility in people with neuromuscular disease.,10.1002/14651858.CD006973.pub2
236,,"IPD affects patients' health-related quality of life, disability, and impairment.","IPD affects patients' health-related quality of life, disability, and impairment.",10.1002/14651858.CD010916.pub2
237,,Albuterol inhalation versus saline inhalation changed serum K+ from baseline at four hours [WMD -0.69 mmol/L (95% CI -0.87 to -0.51)] and at eight hours [WMD -0.59 mmol/L (95% CI -0.78 to -0.40)] after initiation of treatment.,Albuterol lowered the blood levels of potassium both at four and at eight hours after the treatment had started.,10.1002/14651858.CD005257.pub3
239,,The last search was on 31st July 2013.,The evidence is current to 31st July 2013.,10.1002/14651858.CD010550.pub2
243,,To evaluate the evidence from randomised controlled trials comparing external fixation with conservative treatment for fractures of the distal radius in adults.,This review looked at the evidence from randomised controlled trials comparing external fixation with conservative treatment.,10.1002/14651858.CD006194.pub2
244,,One trial did not contribute data.,One trial did not contribute data.,10.1002/14651858.CD000230.pub5
250,,The authors reported a statistically significant increase in clinical activity in the arm that was incentivised with a fee-for-service payment.,The first study found an increase in clinical activity related to fee-for-service payments.,10.1002/14651858.CD009853.pub2
252,,"In recent years there has been a growth in telephone consultation developed, in part, as a response to increased demand for general practitioner (GP) and accident and emergency (A&E) department care.",Visits to emergency departments and family doctors have increased.,10.1002/14651858.CD004180.pub2
255,,There is only poor quality evidence from very limited data to suggest that therapeutic ultrasound may be more effective than placebo for either short- or long-term symptom improvement in people with CTS.,There is only poor quality evidence from very limited data to suggest that therapeutic ultrasound may be more effective than placebo for either short- or long-term symptom improvement in people with carpal tunnel syndrome.,10.1002/14651858.CD009601.pub2
257,,Orthodontic treatment involves using fixed or removable appliances (dental braces) to correct the positions of teeth.,Orthodontic treatment involves using fixed or removable dental braces to correct the positions of teeth.,10.1002/14651858.CD008236.pub3
259,,"There was a statistically significant shorter hospital stay in the early group than in the delayed group (MD -1.25 days, 95% CI -2.05 to -0.45).",The hospital stay was significantly shorter (by about one day) in the early group than the delayed group.,10.1002/14651858.CD007196.pub3
261,,"The ability of probiotics in maintaining and recovering the normal vaginal microbiota, and their potential ability to resist Candidas give rise to the concept of using probiotics for the treatment of VVC.","The ability of probiotics in maintaining and recovering the normal vaginal microbiota, and their potential ability to resist Candidas gives rise to the concept of using probiotics for the treatment of VVC.",10.1002/14651858.CD010496.pub2
263,,The positive results described from the 49 studies of low quality are of questionable significance.,The positive results described from the 49 studies of low quality are of questionable significance.,10.1002/14651858.CD007796.pub3
264,,"Patients with primary sclerosing cholangitis are at higher risk of cholangiocarcinoma as well as of colonic neoplasia, since primary sclerosing cholangitis is associated with inflammatory bowel disease in more than 80% of the patients.","Patients with primary sclerosing cholangitis are at higher risk of cholangiocarcinoma as well as of colonic neoplasia, since primary sclerosing cholangitis is associated with inflammatory bowel disease in more than 80% of patients.",10.1002/14651858.CD004036.pub3
266,,We found moderate-quality evidence that yoga probably leads to small improvements in quality of life and symptoms in people with asthma.,We found that yoga probably improves quality of life and asthma symptoms to some extent.,10.1002/14651858.CD010346.pub2
268,,Management of this problem is both time consuming and expensive.,Management of this problem is both time consuming and expensive.,10.1002/14651858.CD006966.pub3
269,,"Although the live birth rate is lower than conventional in vitro fertilisation (IVF) with ovarian stimulation, it is a useful treatment, as it avoids the risk of ovarian hyperstimulation syndrome (OHSS).","In vitro maturation has a lower live birth rate than in vitro fertilisation, but it avoids the risk of OHSS, so is a useful technique in women with PCO and PCOS.",10.1002/14651858.CD008720.pub2
271,,"External fixation was associated with a high number of complications, such as pin-track infection, but many of these were minor.","The complications, such a pin tract infection, associated with external fixation were many but were generally minor.",10.1002/14651858.CD006194.pub2
273,,"We included randomised controlled trials of any pharmacological intervention for acute or chronic heart failure, among people of any age with chronic kidney disease of at least three months duration.","We found 31 studies involving 23,762 people with heart failure and chronic kidney disease.",10.1002/14651858.CD012466.pub2
276,,The primary outcomes were live birth rate and miscarriage rate per woman randomised.,The main outcomes were live birth rate and miscarriage rate per woman randomised.,10.1002/14651858.CD008720.pub2
279,,"Despite identifying 34 trials related to treatments for blepharitis, there is no strong evidence for any of the treatments in terms of curing chronic blepharitis.","Overall, there was no strong evidence for any of the treatments in terms of curing chronic blepharitis.",10.1002/14651858.CD005556.pub2
285,,Whether social skills training can improve social functioning of people with schizophrenia in different settings remains unclear and should be investigated in a large multi-centre randomised controlled trial.,Whether social skills programmes or training can improve the social functioning of people with schizophrenia in different settings remains unclear and should be further investigated in a large multi-centre randomised controlled trial.,10.1002/14651858.CD009006.pub2
286,,It was not possible to pool any of the data because each study compared different culture media.,No two studies compared the same culture media.,10.1002/14651858.CD007876.pub2
287,,To determine the effectiveness and safety of interventions for non-oliguric hyperkalaemia [for the purpose of this review defined as serum potassium > 6.0 mmol/L (the clinical setting in which interventions would likely be introduced prior to reaching a grossly abnormal level) and urine output > 0.5 ml/kg/hour] in preterm or VLBW infants during their first 72 hours of life.,The objective of this review was to determine the effectiveness and safety of interventions for this serious condition.,10.1002/14651858.CD005257.pub3
292,,"Most (14/18) changed the distance at which a snack food or drink was placed from the participants, whilst four studies changed the order of meal components encountered along a line.","Most (14/18) changed the distance at which a snack food or drink was placed from the participants, whilst four studies changed the order of meal components encountered along a line.",10.1002/14651858.CD012573.pub3
